status	h3k27me3_percentile	h3k36me3_percentile
BAE	0.280840799	0.603764645
BAE	0.338042729	0.559226396
BAE	0.222820469	0.879910407
BAE	0.135983804	0.84450379
MAE	0.793289111	0.184700207
BAE	0.165920055	0.9297898
MAE	0.585199862	0.27002929
BAE	0.306685045	0.8672898
BAE	0.285148174	0.680565127
BAE	0.32723122	0.55513439
MAE	0.669452102	0.41747071
BAE	0.409889731	0.856650586
BAE	0.293633701	0.850146451
BAE	0.364920744	0.74160062
BAE	0.415144728	0.483588904
BAE	0.208649207	0.973251206
BAE	0.288550999	0.721140593
BAE	0.448914542	0.679703653
MAE	0.645675396	0.319994831
MAE	0.65480703	0.803626809
BAE	0.174319435	0.593513094
BAE	0.259131633	0.68784459
BAE	0.198311509	0.795270503
BAE	0.357382839	0.885811509
BAE	0.220580634	0.696976223
MAE	0.849543418	0.325249828
MAE	0.782089938	0.455461751
MAE	0.525844245	0.515463473
BAE	0.370649552	0.767358718
BAE	0.599974156	0.402782564
BAE	0.212741213	0.650973467
MAE	0.426731564	0.574689869
MAE	0.779893177	0.461319779
BAE	0.361431771	0.980616816
BAE	0.424620951	0.742031358
BAE	0.179014473	0.657176085
BAE	0.254092006	0.852730875
MAE	0.552119228	0.327317367
MAE	0.547725706	0.206969331
MAE	0.591359407	0.512879049
BAE	0.079514128	0.881288766
BAE	0.388094418	0.862551688
BAE	0.368495865	0.567582702
BAE	0.4803153	0.560863198
MAE	0.906788422	0.154677808
BAE	0.35152481	0.600921778
MAE	0.714291868	0.205849414
MAE	0.664843212	0.225103377
MAE	0.861216402	0.088602688
MAE	0.515506547	0.51335286
BAE	0.395632323	0.769555479
BAE	0.242806685	0.552506892
BAE	0.431125086	0.551817712
MAE	0.057761888	0.654247071
BAE	0.295313577	0.816678153
BAE	0.122027912	0.777567195
BAE	0.15101654	0.848251206
BAE	0.539197105	0.53902481
BAE	0.260337698	0.807761888
MAE	0.722906616	0.30616816
MAE	0.37568918	0.661225017
BAE	0.34196244	0.942281185
BAE	0.12568918	0.833046175
BAE	0.279936251	0.856047553
BAE	0.468470021	0.729410751
BAE	0.307675741	0.748061682
BAE	0.313706065	0.91148346
BAE	0.223078911	0.645201585
MAE	0.631977946	0.429574431
BAE	0.251421433	0.90342867
BAE	0.263998966	0.893521709
BAE	0.313404549	0.947234666
BAE	0.196373191	0.716402481
BAE	0.342953136	0.818961061
BAE	0.047036527	0.892315644
BAE	0.292384562	0.652222605
BAE	0.596054445	0.391238801
MAE	0.622286354	0.260725362
BAE	0.341660924	0.61901275
BAE	0.237293246	0.728764645
BAE	0.380082702	0.894555479
BAE	0.143134045	0.785492764
BAE	0.389645072	0.834381461
BAE	0.260380772	0.805909717
MAE	0.850964852	0.139343556
BAE	0.413249483	0.712870434
BAE	0.081064783	0.723466575
MAE	0.573483804	0.460845968
BAE	0.460889042	0.583046175
MAE	0.263051344	0.677377671
MAE	0.580892488	0.603850793
BAE	0.405711578	0.608976568
BAE	0.175310131	0.831538594
BAE	0.174362509	0.780453136
BAE	0.37465541	0.601223294
BAE	0.392272571	0.801343901
BAE	0.336965886	0.633184011
BAE	0.049276361	0.75564266
BAE	0.254522743	0.91678153
BAE	0.392746382	0.732555134
BAE	0.282176085	0.612034804
BAE	0.487465541	0.467005513
BAE	0.330246382	0.634691592
BAE	0.207400069	0.723121985
BAE	0.217866988	0.808881806
BAE	0.275542729	0.938016885
BAE	0.175223983	0.801128532
BAE	0.319477946	0.878273604
BAE	0.32860958	0.860656444
BAE	0.331409373	0.720839076
MAE	0.641195727	0.340024121
BAE	0.369572708	0.962181254
BAE	0.302377671	0.959123019
BAE	0.356176775	0.55306685
MAE	0.71730703	0.207916954
BAE	0.10992419	0.809570986
BAE	0.300568573	0.834639904
MAE	0.22824776	0.642918677
MAE	0.63869745	0.365437629
BAE	0.129005858	0.892660234
BAE	0.308838732	0.833433839
BAE	0.247415575	0.891281875
MAE	0.705634045	0.423759476
BAE	0.446287043	0.884347002
MAE	0.630341144	0.424017919
MAE	0.527481048	0.547251895
BAE	0.269598553	0.675396278
BAE	0.459079945	0.447536182
MAE	0.897182977	0.305608201
MAE	0.788163336	0.304272915
MAE	0.411181943	0.322837698
BAE	0.125172295	0.70684011
BAE	0.511371468	0.679531358
BAE	0.336190558	0.722992764
BAE	0.218556168	0.599543418
BAE	0.228118539	0.702058925
BAE	0.199991385	0.697665403
BAE	0.386328394	0.58782736
BAE	0.33851654	0.788981737
BAE	0.350620262	0.886113025
MAE	0.535621985	0.558063405
BAE	0.407951413	0.763654376
BAE	0.385122329	0.966876292
BAE	0.20085286	0.591445555
MAE	0.607382839	0.483115093
BAE	0.124913853	0.939309097
BAE	0.872329428	0.365394555
MAE	0.736044108	0.135337698
BAE	0.282046864	0.866385252
BAE	0.159028256	0.801559269
BAE	0.245477257	0.786655755
BAE	0.092780841	0.93151275
BAE	0.185130944	0.889688146
BAE	0.144727774	0.808924879
BAE	0.160406616	0.909846657
MAE	0.561638525	0.603118539
BAE	0.48134907	0.631805651
BAE	0.309054101	0.527954859
BAE	0.253273604	0.728333908
BAE	0.193788766	0.713818057
MAE	0.091316334	0.851783253
BAE	0.438835286	0.576154376
BAE	0.341316334	0.554229841
MAE	0.612250172	0.555565127
MAE	0.682503446	0.357684356
BAE	0.24896623	0.792169194
BAE	0.381159545	0.776878015
MAE	0.662388008	0.199431427
BAE	0.278170227	0.879048932
BAE	0.256805651	0.63098725
BAE	0.297984149	0.859321158
BAE	0.23561337	0.802808408
BAE	0.419753618	0.658640593
BAE	0.22893694	0.854324604
MAE	0.510682288	0.673587181
MAE	0.556469676	0.553023777
BAE	0.520201585	0.474284976
BAE	0.227730875	0.76404204
BAE	0.36164714	0.896321502
BAE	0.508528601	0.459984493
BAE	0.222992764	0.579514128
BAE	0.209898346	0.738154721
BAE	0.299104066	0.792212267
BAE	0.220796003	0.832313921
BAE	0.337956582	0.616988284
MAE	0.205289456	0.675051688
MAE	0.513568229	0.518823225
MAE	0.639601999	0.256417988
MAE	0.855013784	0.316678153
