Genes dropped due to baseline enrichment beneath the 0.05 percentile and below1mean value
gene_name	low_baseline_mark
CCDC65	h3k36me3_body
CCDC66	h3k36me3_body
CCDC68	h3k36me3_body
CCDC69	h3k36me3_body
CCDC7	h3k36me3_body
CCDC70	h3k36me3_body
CCDC71	h3k36me3_body
CCDC71L	h3k36me3_body
CCDC73	h3k36me3_body
CCDC74A	h3k36me3_body
CCDC74B	h3k36me3_body
CCDC77	h3k36me3_body
CCDC78	h3k36me3_body
CCDC8	h3k36me3_body
CCDC80	h3k36me3_body
CCDC81	h3k36me3_body
CCDC82	h3k36me3_body
CCDC83	h3k36me3_body
CCDC84	h3k36me3_body
CCDC85A	h3k36me3_body
CCDC85B	h3k36me3_body
CCDC85C	h3k36me3_body
CCDC86	h3k36me3_body
CCDC87	h3k36me3_body
CCDC88A	h3k36me3_body
CCDC88B	h3k36me3_body
CCDC88C	h3k36me3_body
CCDC89	h3k36me3_body
CCDC9	h3k36me3_body
CCDC90B	h3k36me3_body
CCDC91	h3k36me3_body
CCDC92	h3k36me3_body
CCDC93	h3k36me3_body
CCDC94	h3k36me3_body
CCDC96	h3k36me3_body
CCDC97	h3k36me3_body
CCEPR	h3k36me3_body
CCER1	h3k36me3_body
CCER2	h3k36me3_body
CCHCR1	h3k36me3_body
CCIN	h3k36me3_body
CCK	h3k36me3_body
CCKAR	h3k36me3_body
CCKBR	h3k36me3_body
CCL1	h3k36me3_body
CCL11	h3k36me3_body
CCL13	h3k36me3_body
CCL14	h3k36me3_body
CCL15	h3k36me3_body
CCL15-CCL14	h3k36me3_body
CCL16	h3k36me3_body
CCL17	h3k36me3_body
CCL18	h3k36me3_body
CCL19	h3k36me3_body
CCL2	h3k36me3_body
CCL20	h3k36me3_body
CCL21	h3k36me3_body
CCL22	h3k36me3_body
CCL23	h3k36me3_body
CCL24	h3k36me3_body
CCL25	h3k36me3_body
CCL26	h3k36me3_body
CCL27	h3k36me3_body
CCL28	h3k36me3_body
CCL3	h3k36me3_body
CCL3L1	h3k36me3_body
CCL3L3	h3k36me3_body
CCL4	h3k36me3_body
CCL4L1	h3k36me3_body
CCL4L2	h3k36me3_body
CCL5	h3k36me3_body
CCL7	h3k36me3_body
CCL8	h3k36me3_body
CCM2	h3k36me3_body
CCM2L	h3k36me3_body
CCNA1	h3k36me3_body
CCNA2	h3k36me3_body
CCNB1	h3k36me3_body
CCNB1IP1	h3k36me3_body
CCNB3	h3k36me3_body
CCNC	h3k36me3_body
CCND1	h3k36me3_body
CCND2	h3k36me3_body
CCND2-AS1	h3k36me3_body
CCND3	h3k36me3_body
CCNE1	h3k36me3_body
CCNE2	h3k36me3_body
CCNF	h3k36me3_body
CCNG1	h3k36me3_body
CCNG2	h3k36me3_body
CCNH	h3k36me3_body
CCNI	h3k36me3_body
CCNI2	h3k36me3_body
CCNJ	h3k36me3_body
CCNJL	h3k36me3_body
CCNK	h3k36me3_body
CCNL1	h3k36me3_body
CCNL2	h3k36me3_body
CCNO	h3k36me3_body
CCNT1	h3k36me3_body
CCNT2	h3k36me3_body
CCNT2-AS1	h3k36me3_body
CCNY	h3k36me3_body
CCNYL1	h3k36me3_body
CCNYL2	h3k36me3_body
CCP110	h3k36me3_body
CCR1	h3k36me3_body
CCR10	h3k36me3_body
CCR2	h3k36me3_body
CCR3	h3k36me3_body
CCR4	h3k36me3_body
CCR5	h3k36me3_body
CCR6	h3k36me3_body
CCR7	h3k36me3_body
CCR8	h3k36me3_body
CCR9	h3k36me3_body
CCRL2	h3k36me3_body
CCS	h3k36me3_body
CCSAP	h3k36me3_body
CCSER1	h3k36me3_body
CCSER2	h3k36me3_body
CCT2	h3k36me3_body
CCT3	h3k36me3_body
CCT4	h3k36me3_body
CCT5	h3k36me3_body
CCT6A	h3k36me3_body
CCT6B	h3k36me3_body
CCT6P1	h3k36me3_body
CCT6P3	h3k36me3_body
CCT7	h3k36me3_body
CCT8	h3k36me3_body
CCT8L2	h3k36me3_body
CCZ1	h3k36me3_body
CCZ1B	h3k36me3_body
CD101	h3k36me3_body
CD109	h3k36me3_body
CD14	h3k36me3_body
CD151	h3k36me3_body
CD160	h3k36me3_body
CD163	h3k36me3_body
CD163L1	h3k36me3_body
CD164	h3k36me3_body
CD164L2	h3k36me3_body
CD177	h3k36me3_body
CD180	h3k36me3_body
CD19	h3k36me3_body
CD1A	h3k36me3_body
CD1B	h3k36me3_body
CD1C	h3k36me3_body
CD1D	h3k36me3_body
CD1E	h3k36me3_body
CD2	h3k36me3_body
CD200	h3k36me3_body
CD200R1	h3k36me3_body
CD200R1L	h3k36me3_body
CD207	h3k36me3_body
CD209	h3k36me3_body
CD22	h3k36me3_body
CD226	h3k36me3_body
CD24	h3k36me3_body
CD244	h3k36me3_body
CD247	h3k36me3_body
CD248	h3k36me3_body
CD27	h3k36me3_body
CD27-AS1	h3k36me3_body
CD274	h3k36me3_body
CD28	h3k36me3_body
CD2AP	h3k36me3_body
CD2BP2	h3k36me3_body
CD300A	h3k36me3_body
CD300C	h3k36me3_body
CD300E	h3k36me3_body
CD300LB	h3k36me3_body
CD300LD	h3k36me3_body
CD300LF	h3k36me3_body
CD300LG	h3k36me3_body
CD302	h3k36me3_body
CD320	h3k36me3_body
CD33	h3k36me3_body
CD34	h3k36me3_body
CD36	h3k36me3_body
CD37	h3k36me3_body
CD38	h3k36me3_body
CD3D	h3k36me3_body
CD3E	h3k36me3_body
CD3EAP	h3k36me3_body
CD3G	h3k36me3_body
CD4	h3k36me3_body
CD40	h3k36me3_body
CD40LG	h3k36me3_body
CD44	h3k36me3_body
CD46	h3k36me3_body
CD47	h3k36me3_body
CD48	h3k36me3_body
CD5	h3k36me3_body
CD52	h3k36me3_body
CD53	h3k36me3_body
CD55	h3k36me3_body
CD58	h3k36me3_body
CD59	h3k36me3_body
CD5L	h3k36me3_body
CD6	h3k36me3_body
CD63	h3k36me3_body
CD68	h3k36me3_body
CD69	h3k36me3_body
CD7	h3k36me3_body
CD70	h3k36me3_body
CD72	h3k36me3_body
CD74	h3k36me3_body
CD79A	h3k36me3_body
CD79B	h3k36me3_body
CD80	h3k36me3_body
CD81	h3k36me3_body
CD81-AS1	h3k36me3_body
CD82	h3k36me3_body
CD83	h3k36me3_body
CD84	h3k36me3_body
CD86	h3k36me3_body
CD8A	h3k36me3_body
CD8B	h3k36me3_body
CD9	h3k36me3_body
CD93	h3k36me3_body
CD96	h3k36me3_body
CD99	h3k36me3_body
CD99	h3k36me3_body
CD99L2	h3k36me3_body
CD99P1	h3k36me3_body
CD99P1	h3k36me3_body
CDA	h3k36me3_body
CDADC1	h3k36me3_body
CDC123	h3k36me3_body
CDC14A	h3k36me3_body
CDC14B	h3k36me3_body
CDC14C	h3k36me3_body
CDC16	h3k36me3_body
CDC20	h3k36me3_body
CDC20B	h3k36me3_body
CDC23	h3k36me3_body
CDC25A	h3k36me3_body
CDC25B	h3k36me3_body
CDC25C	h3k36me3_body
CDC26	h3k36me3_body
CDC27	h3k36me3_body
CDC34	h3k36me3_body
CDC37	h3k36me3_body
CDC37L1	h3k36me3_body
CDC37L1-AS1	h3k36me3_body
CDC40	h3k36me3_body
CDC42	h3k36me3_body
CDC42BPA	h3k36me3_body
CDC42BPB	h3k36me3_body
CDC42BPG	h3k36me3_body
CDC42EP1	h3k36me3_body
CDC42EP2	h3k36me3_body
CDC42EP3	h3k36me3_body
CDC42EP4	h3k36me3_body
CDC42EP5	h3k36me3_body
CDC42P3	h3k36me3_body
CDC42SE1	h3k36me3_body
CDC42SE2	h3k36me3_body
CDC45	h3k36me3_body
CDC5L	h3k36me3_body
CDC6	h3k36me3_body
CDC7	h3k36me3_body
CDC73	h3k36me3_body
CDCA2	h3k36me3_body
CDCA3	h3k36me3_body
CDCA4	h3k36me3_body
CDCA5	h3k36me3_body
CDCA7	h3k36me3_body
CDCA7L	h3k36me3_body
CDCA8	h3k36me3_body
CDCP1	h3k36me3_body
CDCP2	h3k36me3_body
CDH1	h3k36me3_body
CDH10	h3k36me3_body
CDH11	h3k36me3_body
CDH12	h3k36me3_body
CDH13	h3k36me3_body
CDH15	h3k36me3_body
CDH16	h3k36me3_body
CDH17	h3k36me3_body
CDH18	h3k36me3_body
CDH19	h3k36me3_body
CDH2	h3k36me3_body
CDH20	h3k36me3_body
CDH22	h3k36me3_body
CDH23	h3k36me3_body
CDH24	h3k36me3_body
CDH26	h3k36me3_body
CDH3	h3k36me3_body
CDH4	h3k36me3_body
CDH5	h3k36me3_body
CDH6	h3k36me3_body
CDH7	h3k36me3_body
CDH8	h3k36me3_body
CDH9	h3k36me3_body
CDHR1	h3k36me3_body
CDHR2	h3k36me3_body
CDHR3	h3k36me3_body
CDHR4	h3k36me3_body
CDHR5	h3k36me3_body
CDIP1	h3k36me3_body
CDIPT	h3k36me3_body
CDIPT-AS1	h3k36me3_body
CDK1	h3k36me3_body
CDK10	h3k36me3_body
CDK11A	h3k36me3_body
CDK11B	h3k36me3_body
CDK12	h3k36me3_body
CDK13	h3k36me3_body
CDK14	h3k36me3_body
CDK15	h3k36me3_body
CDK16	h3k36me3_body
CDK17	h3k36me3_body
CDK18	h3k36me3_body
CDK19	h3k36me3_body
CDK2	h3k36me3_body
CDK20	h3k36me3_body
CDK2AP1	h3k36me3_body
CDK2AP2	h3k36me3_body
CDK3	h3k36me3_body
CDK4	h3k36me3_body
CDK5	h3k36me3_body
CDK5R1	h3k36me3_body
CDK5R2	h3k36me3_body
CDK5RAP1	h3k36me3_body
CDK5RAP2	h3k36me3_body
CDK5RAP3	h3k36me3_body
CDK6	h3k36me3_body
CDK7	h3k36me3_body
CDK8	h3k36me3_body
CDK9	h3k36me3_body
CDKAL1	h3k36me3_body
CDKL1	h3k36me3_body
CDKL2	h3k36me3_body
CDKL3	h3k36me3_body
CDKL4	h3k36me3_body
CDKL5	h3k36me3_body
CDKN1A	h3k36me3_body
CDKN1B	h3k36me3_body
CDKN1C	h3k36me3_body
CDKN2A	h3k36me3_body
CDKN2A-AS1	h3k36me3_body
CDKN2AIP	h3k36me3_body
CDKN2AIPNL	h3k36me3_body
CDKN2B	h3k36me3_body
CDKN2B-AS1	h3k36me3_body
CDKN2C	h3k36me3_body
CDKN2D	h3k36me3_body
CDKN3	h3k36me3_body
CDNF	h3k36me3_body
CDO1	h3k36me3_body
CDON	h3k36me3_body
CDPF1	h3k36me3_body
CDR1	h3k36me3_body
CDR2	h3k36me3_body
CDR2L	h3k36me3_body
CDRT1	h3k36me3_body
CDRT15	h3k36me3_body
CDRT15L2	h3k36me3_body
CDRT15P1	h3k36me3_body
CDRT15P2	h3k36me3_body
CDRT4	h3k36me3_body
CDRT7	h3k36me3_body
CDRT8	h3k36me3_body
CDS1	h3k36me3_body
CDS2	h3k36me3_body
CDSN	h3k36me3_body
CDT1	h3k36me3_body
CDV3	h3k36me3_body
CDX1	h3k36me3_body
CDX2	h3k36me3_body
CDX4	h3k36me3_body
CDY1	h3k36me3_body
CDY1B	h3k36me3_body
CDY2A	h3k36me3_body
CDY2B	h3k36me3_body
CDYL	h3k36me3_body
CDYL2	h3k36me3_body
CEACAM1	h3k36me3_body
CEACAM16	h3k36me3_body
CEACAM18	h3k36me3_body
CEACAM19	h3k36me3_body
CEACAM20	h3k36me3_body
CEACAM21	h3k36me3_body
CEACAM22P	h3k36me3_body
CEACAM3	h3k36me3_body
CEACAM4	h3k36me3_body
CEACAM5	h3k36me3_body
CEACAM6	h3k36me3_body
CEACAM7	h3k36me3_body
CEACAM8	h3k36me3_body
CEBPA	h3k36me3_body
CEBPA-AS1	h3k36me3_body
CEBPB	h3k36me3_body
CEBPB-AS1	h3k36me3_body
CEBPD	h3k36me3_body
CEBPE	h3k36me3_body
CEBPG	h3k36me3_body
CEBPZ	h3k36me3_body
CEBPZOS	h3k36me3_body
CECR1	h3k36me3_body
CECR2	h3k36me3_body
CECR3	h3k36me3_body
CECR5	h3k36me3_body
CECR5-AS1	h3k36me3_body
CECR6	h3k36me3_body
CECR7	h3k36me3_body
CEL	h3k36me3_body
CELA1	h3k36me3_body
CELA2A	h3k36me3_body
CELA2B	h3k36me3_body
CELA3A	h3k36me3_body
CELA3B	h3k36me3_body
CELF1	h3k36me3_body
CELF2	h3k36me3_body
CELF2-AS1	h3k36me3_body
CELF2-AS2	h3k36me3_body
CELF3	h3k36me3_body
CELF4	h3k36me3_body
CELF5	h3k36me3_body
CELP	h3k36me3_body
CELSR1	h3k36me3_body
CELSR2	h3k36me3_body
CELSR3	h3k36me3_body
CELSR3-AS1	h3k36me3_body
CEMP1	h3k36me3_body
CEND1	h3k36me3_body
CENPA	h3k36me3_body
CENPB	h3k36me3_body
CENPBD1	h3k36me3_body
CENPBD1P1	h3k36me3_body
CENPC	h3k36me3_body
CENPE	h3k36me3_body
CENPF	h3k36me3_body
CENPH	h3k36me3_body
CENPI	h3k36me3_body
CENPJ	h3k36me3_body
CENPK	h3k36me3_body
CENPL	h3k36me3_body
CENPM	h3k36me3_body
CENPN	h3k36me3_body
CENPO	h3k36me3_body
CENPP	h3k36me3_body
CENPQ	h3k36me3_body
CENPT	h3k36me3_body
CENPU	h3k36me3_body
CENPV	h3k36me3_body
CENPVP1	h3k36me3_body
CENPVP2	h3k36me3_body
CENPW	h3k36me3_body
CEP104	h3k36me3_body
CEP112	h3k36me3_body
CEP120	h3k36me3_body
CEP126	h3k36me3_body
CEP128	h3k36me3_body
CEP131	h3k36me3_body
CEP135	h3k36me3_body
CEP162	h3k36me3_body
CEP164	h3k36me3_body
CEP170	h3k36me3_body
CEP170B	h3k36me3_body
CEP170P1	h3k36me3_body
CEP19	h3k36me3_body
CEP192	h3k36me3_body
CEP250	h3k36me3_body
CEP290	h3k36me3_body
CEP295	h3k36me3_body
CEP295NL	h3k36me3_body
CEP350	h3k36me3_body
CEP41	h3k36me3_body
CEP44	h3k36me3_body
CEP55	h3k36me3_body
CEP57	h3k36me3_body
CEP57L1	h3k36me3_body
CEP63	h3k36me3_body
CEP68	h3k36me3_body
CEP70	h3k36me3_body
CEP72	h3k36me3_body
CEP76	h3k36me3_body
CEP78	h3k36me3_body
CEP83	h3k36me3_body
CEP83-AS1	h3k36me3_body
CEP85	h3k36me3_body
CEP85L	h3k36me3_body
CEP89	h3k36me3_body
CEP95	h3k36me3_body
CEP97	h3k36me3_body
CEPT1	h3k36me3_body
CER1	h3k36me3_body
CERCAM	h3k36me3_body
CERK	h3k36me3_body
CERKL	h3k36me3_body
CERS1	h3k36me3_body
CERS2	h3k36me3_body
CERS4	h3k36me3_body
CERS5	h3k36me3_body
CERS6	h3k36me3_body
CERS6-AS1	h3k36me3_body
CES1	h3k36me3_body
CES1P1	h3k36me3_body
CES1P2	h3k36me3_body
CES2	h3k36me3_body
CES3	h3k36me3_body
CES4A	h3k36me3_body
CES5A	h3k36me3_body
CES5AP1	h3k36me3_body
CETN1	h3k36me3_body
CETN2	h3k36me3_body
CETN3	h3k36me3_body
CETN4P	h3k36me3_body
CETP	h3k36me3_body
CFAP100	h3k36me3_body
CFAP126	h3k36me3_body
CFAP157	h3k36me3_body
CFAP20	h3k36me3_body
CFAP206	h3k36me3_body
CFAP221	h3k36me3_body
CFAP36	h3k36me3_body
CFAP43	h3k36me3_body
CFAP44	h3k36me3_body
CFAP44-AS1	h3k36me3_body
CFAP45	h3k36me3_body
CFAP46	h3k36me3_body
CFAP47	h3k36me3_body
CFAP52	h3k36me3_body
CFAP53	h3k36me3_body
CFAP54	h3k36me3_body
CFAP57	h3k36me3_body
CFAP58	h3k36me3_body
CFAP58-AS1	h3k36me3_body
CFAP61	h3k36me3_body
CFAP65	h3k36me3_body
CFAP69	h3k36me3_body
CFAP70	h3k36me3_body
CFAP73	h3k36me3_body
CFAP74	h3k36me3_body
CFAP77	h3k36me3_body
CFAP97	h3k36me3_body
CFAP99	h3k36me3_body
CFB	h3k36me3_body
CFC1	h3k36me3_body
CFC1B	h3k36me3_body
CFD	h3k36me3_body
CFDP1	h3k36me3_body
CFH	h3k36me3_body
CFHR1	h3k36me3_body
CFHR2	h3k36me3_body
CFHR3	h3k36me3_body
CFHR4	h3k36me3_body
CFHR5	h3k36me3_body
CFI	h3k36me3_body
CFL1	h3k36me3_body
CFL1P1	h3k36me3_body
CFL2	h3k36me3_body
CFLAR	h3k36me3_body
CFLAR-AS1	h3k36me3_body
CFP	h3k36me3_body
CFTR	h3k36me3_body
CGA	h3k36me3_body
CGB1	h3k36me3_body
CGB2	h3k36me3_body
CGB3	h3k36me3_body
CGB5	h3k36me3_body
CGB7	h3k36me3_body
CGB8	h3k36me3_body
CGGBP1	h3k36me3_body
CGN	h3k36me3_body
CGREF1	h3k36me3_body
CGRRF1	h3k36me3_body
CH17-340M24.3	h3k36me3_body
CH17-360D5.1	h3k36me3_body
CH25H	h3k36me3_body
CHAC2	h3k36me3_body
CHAD	h3k36me3_body
CHADL	h3k36me3_body
CHAF1A	h3k36me3_body
CHAF1B	h3k36me3_body
CHAMP1	h3k36me3_body
CHAT	h3k36me3_body
CHCHD1	h3k36me3_body
CHCHD10	h3k36me3_body
CHCHD2	h3k36me3_body
CHCHD3	h3k36me3_body
CHCHD4	h3k36me3_body
CHCHD5	h3k36me3_body
CHCHD6	h3k36me3_body
CHCHD7	h3k36me3_body
CHD1	h3k36me3_body
CHD1L	h3k36me3_body
CHD3	h3k36me3_body
CHD4	h3k36me3_body
CHD5	h3k36me3_body
CHD6	h3k36me3_body
CHD7	h3k36me3_body
CHD8	h3k36me3_body
CHD9	h3k36me3_body
CHDH	h3k36me3_body
CHEK1	h3k36me3_body
CHEK2	h3k36me3_body
CHERP	h3k36me3_body
CHFR	h3k36me3_body
CHGA	h3k36me3_body
CHGB	h3k36me3_body
CHI3L1	h3k36me3_body
CHI3L2	h3k36me3_body
CHIA	h3k36me3_body
CHIAP2	h3k36me3_body
CHIC1	h3k36me3_body
CHIC2	h3k36me3_body
CHID1	h3k36me3_body
CHIT1	h3k36me3_body
CHKA	h3k36me3_body
CHKB	h3k36me3_body
CHKB-AS1	h3k36me3_body
CHKB-CPT1B	h3k36me3_body
CHL1	h3k36me3_body
CHL1-AS1	h3k36me3_body
CHM	h3k36me3_body
CHML	h3k36me3_body
CHMP1A	h3k36me3_body
CHMP1B	h3k36me3_body
CHMP1B2P	h3k36me3_body
CHMP2A	h3k36me3_body
CHMP2B	h3k36me3_body
CHMP3	h3k36me3_body
CHMP4A	h3k36me3_body
CHMP4B	h3k36me3_body
CHMP4C	h3k36me3_body
CHMP5	h3k36me3_body
CHMP6	h3k36me3_body
CHMP7	h3k36me3_body
CHN1	h3k36me3_body
CHN2	h3k36me3_body
CHODL	h3k36me3_body
CHODL-AS1	h3k36me3_body
CHORDC1	h3k36me3_body
CHP2	h3k36me3_body
CHPF	h3k36me3_body
CHPF2	h3k36me3_body
CHPT1	h3k36me3_body
CHRAC1	h3k36me3_body
CHRD	h3k36me3_body
CHRDL1	h3k36me3_body
CHRDL2	h3k36me3_body
CHRM1	h3k36me3_body
CHRM2	h3k36me3_body
CHRM3	h3k36me3_body
CHRM3-AS1	h3k36me3_body
CHRM3-AS2	h3k36me3_body
CHRM4	h3k36me3_body
CHRNA1	h3k36me3_body
CHRNA10	h3k36me3_body
CHRNA2	h3k36me3_body
CHRNA4	h3k36me3_body
CHRNA6	h3k36me3_body
CHRNA9	h3k36me3_body
CHRNB1	h3k36me3_body
CHRNB2	h3k36me3_body
CHRNB3	h3k36me3_body
CHRND	h3k36me3_body
CHRNE	h3k36me3_body
CHRNG	h3k36me3_body
CHST1	h3k36me3_body
CHST10	h3k36me3_body
CHST11	h3k36me3_body
CHST12	h3k36me3_body
CHST13	h3k36me3_body
CHST15	h3k36me3_body
CHST2	h3k36me3_body
CHST3	h3k36me3_body
CHST4	h3k36me3_body
CHST5	h3k36me3_body
CHST6	h3k36me3_body
CHST7	h3k36me3_body
CHST8	h3k36me3_body
CHST9	h3k36me3_body
CHSY3	h3k36me3_body
CHTF18	h3k36me3_body
CHTF8	h3k36me3_body
CHTOP	h3k36me3_body
CHUK	h3k36me3_body
CHURC1	h3k36me3_body
CHURC1-FNTB	h3k36me3_body
CIAO1	h3k36me3_body
CIAPIN1	h3k36me3_body
CIART	h3k36me3_body
CIB3	h3k36me3_body
CIB4	h3k36me3_body
CIC	h3k36me3_body
CIDEA	h3k36me3_body
CIDEB	h3k36me3_body
CIDEC	h3k36me3_body
CIDECP	h3k36me3_body
CIITA	h3k36me3_body
CILP2	h3k36me3_body
CINP	h3k36me3_body
CIPC	h3k36me3_body
CIR1	h3k36me3_body
CIRBP	h3k36me3_body
CIRBP-AS1	h3k36me3_body
CISD1	h3k36me3_body
CISD2	h3k36me3_body
CISD3	h3k36me3_body
CISH	h3k36me3_body
CISTR	h3k36me3_body
CIT	h3k36me3_body
CITED1	h3k36me3_body
CITED2	h3k36me3_body
CITED4	h3k36me3_body
CIZ1	h3k36me3_body
CKAP2	h3k36me3_body
CKAP2L	h3k36me3_body
CKAP4	h3k36me3_body
CKAP5	h3k36me3_body
CKB	h3k36me3_body
CKLF	h3k36me3_body
CKLF-CMTM1	h3k36me3_body
CKM	h3k36me3_body
CKMT2	h3k36me3_body
CKMT2-AS1	h3k36me3_body
CKS1B	h3k36me3_body
CKS2	h3k36me3_body
CLASP1	h3k36me3_body
CLASP2	h3k36me3_body
CLASRP	h3k36me3_body
CLC	h3k36me3_body
CLCA1	h3k36me3_body
CLCA2	h3k36me3_body
CLCA3P	h3k36me3_body
CLCA4	h3k36me3_body
CLCC1	h3k36me3_body
CLCF1	h3k36me3_body
CLCN1	h3k36me3_body
CLCN2	h3k36me3_body
CLCN3	h3k36me3_body
CLCN4	h3k36me3_body
CLCN5	h3k36me3_body
CLCN6	h3k36me3_body
CLCN7	h3k36me3_body
CLCNKA	h3k36me3_body
CLCNKB	h3k36me3_body
CLDN1	h3k36me3_body
CLDN10	h3k36me3_body
CLDN10-AS1	h3k36me3_body
CLDN11	h3k36me3_body
CLDN12	h3k36me3_body
CLDN14	h3k36me3_body
CLDN15	h3k36me3_body
CLDN16	h3k36me3_body
CLDN17	h3k36me3_body
CLDN18	h3k36me3_body
CLDN19	h3k36me3_body
CLDN2	h3k36me3_body
CLDN20	h3k36me3_body
CLDN22	h3k36me3_body
CLDN23	h3k36me3_body
CLDN24	h3k36me3_body
CLDN25	h3k36me3_body
CLDN3	h3k36me3_body
CLDN34	h3k36me3_body
CLDN4	h3k36me3_body
CLDN5	h3k36me3_body
CLDN6	h3k36me3_body
CLDN7	h3k36me3_body
CLDN8	h3k36me3_body
CLDN9	h3k36me3_body
CLDND1	h3k36me3_body
CLDND2	h3k36me3_body
CLEC10A	h3k36me3_body
CLEC11A	h3k36me3_body
CLEC12A	h3k36me3_body
CLEC12B	h3k36me3_body
CLEC14A	h3k36me3_body
CLEC16A	h3k36me3_body
CLEC17A	h3k36me3_body
CLEC18A	h3k36me3_body
CLEC18B	h3k36me3_body
CLEC18C	h3k36me3_body
CLEC19A	h3k36me3_body
CLEC1A	h3k36me3_body
CLEC1B	h3k36me3_body
CLEC2A	h3k36me3_body
CLEC2B	h3k36me3_body
CLEC2D	h3k36me3_body
CLEC2L	h3k36me3_body
CLEC3A	h3k36me3_body
CLEC3B	h3k36me3_body
CLEC4A	h3k36me3_body
CLEC4C	h3k36me3_body
CLEC4D	h3k36me3_body
CLEC4E	h3k36me3_body
CLEC4F	h3k36me3_body
CLEC4G	h3k36me3_body
CLEC4GP1	h3k36me3_body
CLEC4M	h3k36me3_body
CLEC5A	h3k36me3_body
CLEC6A	h3k36me3_body
CLEC7A	h3k36me3_body
CLEC9A	h3k36me3_body
CLECL1	h3k36me3_body
CLGN	h3k36me3_body
CLHC1	h3k36me3_body
CLIC1	h3k36me3_body
CLIC2	h3k36me3_body
CLIC3	h3k36me3_body
CLIC4	h3k36me3_body
CLIC5	h3k36me3_body
CLIC6	h3k36me3_body
CLINT1	h3k36me3_body
CLIP1	h3k36me3_body
CLIP1-AS1	h3k36me3_body
CLIP2	h3k36me3_body
CLIP3	h3k36me3_body
CLIP4	h3k36me3_body
CLK1	h3k36me3_body
CLK2	h3k36me3_body
CLK2P1	h3k36me3_body
CLK4	h3k36me3_body
CLLU1	h3k36me3_body
CLLU1OS	h3k36me3_body
CLMN	h3k36me3_body
CLMP	h3k36me3_body
CLN3	h3k36me3_body
CLN5	h3k36me3_body
CLN8	h3k36me3_body
CLNK	h3k36me3_body
CLNS1A	h3k36me3_body
CLOCK	h3k36me3_body
CLP1	h3k36me3_body
CLPB	h3k36me3_body
CLPP	h3k36me3_body
CLPS	h3k36me3_body
CLPSL1	h3k36me3_body
CLPSL2	h3k36me3_body
CLPTM1	h3k36me3_body
CLPTM1L	h3k36me3_body
CLRN1	h3k36me3_body
CLRN1-AS1	h3k36me3_body
CLRN2	h3k36me3_body
CLRN3	h3k36me3_body
CLSPN	h3k36me3_body
CLSTN1	h3k36me3_body
CLSTN2	h3k36me3_body
CLSTN2-AS1	h3k36me3_body
CLSTN3	h3k36me3_body
CLTA	h3k36me3_body
CLTB	h3k36me3_body
CLTC	h3k36me3_body
CLTCL1	h3k36me3_body
CLU	h3k36me3_body
CLUAP1	h3k36me3_body
CLUH	h3k36me3_body
CLUHP3	h3k36me3_body
CLUL1	h3k36me3_body
CLVS1	h3k36me3_body
CLVS2	h3k36me3_body
CLYBL	h3k36me3_body
CLYBL-AS1	h3k36me3_body
CLYBL-AS2	h3k36me3_body
CMA1	h3k36me3_body
CMAHP	h3k36me3_body
CMAS	h3k36me3_body
CMBL	h3k36me3_body
CMC1	h3k36me3_body
CMC2	h3k36me3_body
CMC4	h3k36me3_body
CMIP	h3k36me3_body
CMKLR1	h3k36me3_body
CMPK1	h3k36me3_body
CMPK2	h3k36me3_body
CMSS1	h3k36me3_body
CMTM1	h3k36me3_body
CMTM2	h3k36me3_body
CMTM3	h3k36me3_body
CMTM4	h3k36me3_body
CMTM5	h3k36me3_body
CMTM6	h3k36me3_body
CMTM7	h3k36me3_body
CMTM8	h3k36me3_body
CMTR1	h3k36me3_body
CMTR2	h3k36me3_body
CMYA5	h3k36me3_body
CNBD1	h3k36me3_body
CNBD2	h3k36me3_body
CNBP	h3k36me3_body
CNDP1	h3k36me3_body
CNDP2	h3k36me3_body
CNEP1R1	h3k36me3_body
CNFN	h3k36me3_body
CNGA1	h3k36me3_body
CNGA2	h3k36me3_body
CNGA3	h3k36me3_body
CNGA4	h3k36me3_body
CNGB1	h3k36me3_body
CNGB3	h3k36me3_body
CNIH1	h3k36me3_body
CNIH2	h3k36me3_body
CNIH3	h3k36me3_body
CNIH4	h3k36me3_body
CNKSR1	h3k36me3_body
CNKSR2	h3k36me3_body
CNKSR3	h3k36me3_body
CNN1	h3k36me3_body
CNN2	h3k36me3_body
CNN3	h3k36me3_body
CNNM1	h3k36me3_body
CNNM2	h3k36me3_body
CNNM3	h3k36me3_body
CNNM4	h3k36me3_body
CNOT1	h3k36me3_body
CNOT10	h3k36me3_body
CNOT11	h3k36me3_body
CNOT2	h3k36me3_body
CNOT3	h3k36me3_body
CNOT4	h3k36me3_body
CNOT6	h3k36me3_body
CNOT6L	h3k36me3_body
CNOT7	h3k36me3_body
CNOT8	h3k36me3_body
CNOT9	h3k36me3_body
CNP	h3k36me3_body
CNPPD1	h3k36me3_body
CNPY1	h3k36me3_body
CNPY2	h3k36me3_body
CNPY3	h3k36me3_body
CNPY3-GNMT	h3k36me3_body
CNPY4	h3k36me3_body
CNR1	h3k36me3_body
CNR2	h3k36me3_body
CNRIP1	h3k36me3_body
CNST	h3k36me3_body
CNTD1	h3k36me3_body
CNTD2	h3k36me3_body
CNTF	h3k36me3_body
CNTFR	h3k36me3_body
CNTFR-AS1	h3k36me3_body
