Genes dropped due to baseline enrichment beneath the 0.05 percentile and below1mean value
gene_name	low_baseline_mark
ACSS1	h3k36me3_body
ACSS2	h3k36me3_body
ACSS3	h3k36me3_body
ACTA1	h3k36me3_body
ACTA2	h3k36me3_body
ACTA2-AS1	h3k36me3_body
ACTB	h3k36me3_body
ACTBL2	h3k36me3_body
ACTG1	h3k36me3_body
ACTG1P20	h3k36me3_body
ACTG1P4	h3k36me3_body
ACTG2	h3k36me3_body
ACTL10	h3k36me3_body
ACTL6A	h3k36me3_body
ACTL6B	h3k36me3_body
ACTL7A	h3k36me3_body
ACTL7B	h3k36me3_body
ACTL8	h3k36me3_body
ACTL9	h3k36me3_body
ACTN1	h3k36me3_body
ACTN1-AS1	h3k36me3_body
ACTN2	h3k36me3_body
ACTN3	h3k36me3_body
ACTN4	h3k36me3_body
ACTR10	h3k36me3_body
ACTR1A	h3k36me3_body
ACTR1B	h3k36me3_body
ACTR2	h3k36me3_body
ACTR3	h3k36me3_body
ACTR3B	h3k36me3_body
ACTR3BP2	h3k36me3_body
ACTR3BP5	h3k36me3_body
ACTR3C	h3k36me3_body
ACTR5	h3k36me3_body
ACTR6	h3k36me3_body
ACTR8	h3k36me3_body
ACTRT1	h3k36me3_body
ACTRT2	h3k36me3_body
ACTRT3	h3k36me3_body
ACVR1	h3k36me3_body
ACVR1B	h3k36me3_body
ACVR1C	h3k36me3_body
ACVR2A	h3k36me3_body
ACVR2B	h3k36me3_body
ACVR2B-AS1	h3k36me3_body
ACVRL1	h3k36me3_body
ACY1	h3k36me3_body
ACY3	h3k36me3_body
ACYP1	h3k36me3_body
ACYP2	h3k36me3_body
ADA	h3k36me3_body
ADAD1	h3k36me3_body
ADAD2	h3k36me3_body
ADAM11	h3k36me3_body
ADAM12	h3k36me3_body
ADAM15	h3k36me3_body
ADAM17	h3k36me3_body
ADAM18	h3k36me3_body
ADAM19	h3k36me3_body
ADAM1A	h3k36me3_body
ADAM2	h3k36me3_body
ADAM20	h3k36me3_body
ADAM20P1	h3k36me3_body
ADAM21	h3k36me3_body
ADAM21P1	h3k36me3_body
ADAM22	h3k36me3_body
ADAM23	h3k36me3_body
ADAM28	h3k36me3_body
ADAM29	h3k36me3_body
ADAM30	h3k36me3_body
ADAM32	h3k36me3_body
ADAM33	h3k36me3_body
ADAM3A	h3k36me3_body
ADAM5	h3k36me3_body
ADAM6	h3k36me3_body
ADAM7	h3k36me3_body
ADAM8	h3k36me3_body
ADAM9	h3k36me3_body
ADAMDEC1	h3k36me3_body
ADAMTS1	h3k36me3_body
ADAMTS10	h3k36me3_body
ADAMTS12	h3k36me3_body
ADAMTS13	h3k36me3_body
ADAMTS14	h3k36me3_body
ADAMTS15	h3k36me3_body
ADAMTS16	h3k36me3_body
ADAMTS18	h3k36me3_body
ADAMTS19	h3k36me3_body
ADAMTS19-AS1	h3k36me3_body
ADAMTS2	h3k36me3_body
ADAMTS20	h3k36me3_body
ADAMTS3	h3k36me3_body
ADAMTS4	h3k36me3_body
ADAMTS5	h3k36me3_body
ADAMTS6	h3k36me3_body
ADAMTS8	h3k36me3_body
ADAMTS9	h3k36me3_body
ADAMTS9-AS1	h3k36me3_body
ADAMTS9-AS2	h3k36me3_body
ADAMTSL1	h3k36me3_body
ADAMTSL2	h3k36me3_body
ADAMTSL4	h3k36me3_body
ADAMTSL4-AS1	h3k36me3_body
ADAMTSL5	h3k36me3_body
ADAP1	h3k36me3_body
ADAP2	h3k36me3_body
ADAR	h3k36me3_body
ADARB1	h3k36me3_body
ADARB2	h3k36me3_body
ADARB2-AS1	h3k36me3_body
ADAT1	h3k36me3_body
ADAT2	h3k36me3_body
ADAT3	h3k36me3_body
ADCK1	h3k36me3_body
ADCK2	h3k36me3_body
ADCK5	h3k36me3_body
ADCY1	h3k36me3_body
ADCY10	h3k36me3_body
ADCY10P1	h3k36me3_body
ADCY2	h3k36me3_body
ADCY3	h3k36me3_body
ADCY4	h3k36me3_body
ADCY5	h3k36me3_body
ADCY6	h3k36me3_body
ADCY7	h3k36me3_body
ADCY8	h3k36me3_body
ADCY9	h3k36me3_body
ADCYAP1	h3k36me3_body
ADCYAP1R1	h3k36me3_body
ADD1	h3k36me3_body
ADD2	h3k36me3_body
ADD3	h3k36me3_body
ADD3-AS1	h3k36me3_body
ADGB	h3k36me3_body
ADGRA1	h3k36me3_body
ADGRA1-AS1	h3k36me3_body
ADGRA2	h3k36me3_body
ADGRA3	h3k36me3_body
ADGRB1	h3k36me3_body
ADGRB2	h3k36me3_body
ADGRB3	h3k36me3_body
ADGRD1	h3k36me3_body
ADGRE1	h3k36me3_body
ADGRE2	h3k36me3_body
ADGRE3	h3k36me3_body
ADGRE4P	h3k36me3_body
ADGRE5	h3k36me3_body
ADGRF1	h3k36me3_body
ADGRF2	h3k36me3_body
ADGRF3	h3k36me3_body
ADGRF4	h3k36me3_body
ADGRF5	h3k36me3_body
ADGRG1	h3k36me3_body
ADGRG2	h3k36me3_body
ADGRG3	h3k36me3_body
ADGRG4	h3k36me3_body
ADGRG5	h3k36me3_body
ADGRG6	h3k36me3_body
ADGRG7	h3k36me3_body
ADGRL1	h3k36me3_body
ADGRL2	h3k36me3_body
ADGRL3	h3k36me3_body
ADGRL3-AS1	h3k36me3_body
ADGRL4	h3k36me3_body
ADGRV1	h3k36me3_body
ADH1A	h3k36me3_body
ADH1B	h3k36me3_body
ADH1C	h3k36me3_body
ADH4	h3k36me3_body
ADH5	h3k36me3_body
ADH6	h3k36me3_body
ADH7	h3k36me3_body
ADHFE1	h3k36me3_body
ADI1	h3k36me3_body
ADIG	h3k36me3_body
ADIPOQ	h3k36me3_body
ADIPOQ-AS1	h3k36me3_body
ADIPOR1	h3k36me3_body
ADIPOR2	h3k36me3_body
ADIRF	h3k36me3_body
ADK	h3k36me3_body
ADM	h3k36me3_body
ADM2	h3k36me3_body
ADM5	h3k36me3_body
ADNP	h3k36me3_body
ADNP-AS1	h3k36me3_body
ADNP2	h3k36me3_body
ADO	h3k36me3_body
ADORA1	h3k36me3_body
ADORA2A	h3k36me3_body
ADORA2A-AS1	h3k36me3_body
ADORA2B	h3k36me3_body
ADORA3	h3k36me3_body
ADPRH	h3k36me3_body
ADPRHL1	h3k36me3_body
ADPRHL2	h3k36me3_body
ADPRM	h3k36me3_body
ADRA1A	h3k36me3_body
ADRA1B	h3k36me3_body
ADRA1D	h3k36me3_body
ADRA2A	h3k36me3_body
ADRA2B	h3k36me3_body
ADRA2C	h3k36me3_body
ADRB1	h3k36me3_body
ADRB2	h3k36me3_body
ADRB3	h3k36me3_body
ADRM1	h3k36me3_body
ADSL	h3k36me3_body
ADSS	h3k36me3_body
ADSSL1	h3k36me3_body
ADTRP	h3k36me3_body
AEBP1	h3k36me3_body
AEBP2	h3k36me3_body
AES	h3k36me3_body
AFAP1	h3k36me3_body
AFAP1-AS1	h3k36me3_body
AFAP1L1	h3k36me3_body
AFAP1L2	h3k36me3_body
AFDN	h3k36me3_body
